Country,Country & Area Code, Rate/Minute ($A) 
India - Mobile - Privately Run,9176700, $0.05 
India - Mobile - Privately Run,9178468, $0.05 
India - Mobile - Privately Run,9182769, $0.05 
India - Mobile - Privately Run,9185398, $0.05 
India - Mobile - Privately Run,9187490, $0.05 
India - Mobile - Privately Run,918923, $0.05 
India - Mobile - Privately Run,917075, $0.05 
India - Mobile - Privately Run,9176708, $0.05 
India - Mobile - Privately Run,9178469, $0.05 
India - Mobile - Privately Run,9182820, $0.05 
India - Mobile - Privately Run,9185399, $0.05 
India - Mobile - Privately Run,9187498, $0.05 
India - Mobile - Privately Run,918925, $0.05 
India - Mobile - Privately Run,917078, $0.05 
India - Mobile - Privately Run,9176709, $0.05 
India - Mobile - Privately Run,9178470, $0.05 
India - Mobile - Privately Run,9182828, $0.05 
India - Mobile - Privately Run,9185400, $0.05 
India - Mobile - Privately Run,9187499, $0.05 
India - Mobile - Privately Run,918926, $0.05 
India - Mobile - Privately Run,917079, $0.05 
India - Mobile - Privately Run,9176710, $0.05 
India - Mobile - Privately Run,9178478, $0.05 
India - Mobile - Privately Run,9182829, $0.05 
India - Mobile - Privately Run,9185408, $0.05 
India - Mobile - Privately Run,9187510, $0.05 
India - Mobile - Privately Run,918927, $0.05 
India - Mobile - Privately Run,917083, $0.05 
India - Mobile - Privately Run,9176718, $0.05 
India - Mobile - Privately Run,9178479, $0.05 
India - Mobile - Privately Run,9183430, $0.05 
India - Mobile - Privately Run,9185409, $0.05 
India - Mobile - Privately Run,9187518, $0.05 
India - Mobile - Privately Run,918928, $0.05 
India - Mobile - Privately Run,917084, $0.05 
India - Mobile - Privately Run,9176719, $0.05 
India - Mobile - Privately Run,9178480, $0.05 
India - Mobile - Privately Run,9183438, $0.05 
India - Mobile - Privately Run,9185410, $0.05 
India - Mobile - Privately Run,9187519, $0.05 
India - Mobile - Privately Run,918929, $0.05 
India - Mobile - Privately Run,917088, $0.05 
India - Mobile - Privately Run,9176720, $0.05 
India - Mobile - Privately Run,9178488, $0.05 
India - Mobile - Privately Run,9183439, $0.05 
India - Mobile - Privately Run,9185418, $0.05 
India - Mobile - Privately Run,9187520, $0.05 
India - Mobile - Privately Run,917089, $0.05 
India - Mobile - Privately Run,9176728, $0.05 
India - Mobile - Privately Run,9178489, $0.05 
India - Mobile - Privately Run,9183450, $0.05 
India - Mobile - Privately Run,9185419, $0.05 
India - Mobile - Privately Run,9187528, $0.05 
India - Mobile - Privately Run,918960, $0.05 
India - Mobile - Privately Run,91709, $0.05 
India - Mobile - Privately Run,9176729, $0.05 
India - Mobile - Privately Run,9178490, $0.05 
India - Mobile - Privately Run,9183458, $0.05 
India - Mobile - Privately Run,9185420, $0.05 
India - Mobile - Privately Run,9187529, $0.05 
India - Mobile - Privately Run,918961, $0.05 
India - Mobile - Privately Run,917200, $0.05 
India - Mobile - Privately Run,9176730, $0.05 
India - Mobile - Privately Run,9178498, $0.05 
India - Mobile - Privately Run,9183459, $0.05 
India - Mobile - Privately Run,9185428, $0.05 
India - Mobile - Privately Run,9187530, $0.05 
India - Mobile - Privately Run,918962, $0.05 
India - Mobile - Privately Run,9172010, $0.05 
India - Mobile - Privately Run,9176738, $0.05 
India - Mobile - Privately Run,9178499, $0.05 
India - Mobile - Privately Run,9183460, $0.05 
India - Mobile - Privately Run,9185429, $0.05 
India - Mobile - Privately Run,9187538, $0.05 
India - Mobile - Privately Run,91898, $0.05 
India - Mobile - Privately Run,9172018, $0.05 
India - Mobile - Privately Run,9176788, $0.05 
India - Mobile - Privately Run,9178500, $0.05 
India - Mobile - Privately Run,9183468, $0.05 
India - Mobile - Privately Run,9185430, $0.05 
India - Mobile - Privately Run,9188239, $0.05 
India - Mobile - Privately Run,91899, $0.05 
India - Mobile - Privately Run,9172019, $0.05 
India - Mobile - Privately Run,9176789, $0.05 
India - Mobile - Privately Run,9178508, $0.05 
India - Mobile - Privately Run,9183469, $0.05 
India - Mobile - Privately Run,9185438, $0.05 
India - Mobile - Privately Run,9188290, $0.05 
India - Mobile - Privately Run,9190, $0.05 
India - Mobile - Privately Run,9172020, $0.05 
India - Mobile - Privately Run,9176850, $0.05 
India - Mobile - Privately Run,9178509, $0.05 
India - Mobile - Privately Run,9183500, $0.05 
India - Mobile - Privately Run,9185439, $0.05 
India - Mobile - Privately Run,9188298, $0.05 
India - Mobile - Privately Run,919100, $0.05 
India - Mobile - Privately Run,9172028, $0.05 
India - Mobile - Privately Run,9176858, $0.05 
India - Mobile - Privately Run,9178510, $0.05 
India - Mobile - Privately Run,9183508, $0.05 
India - Mobile - Privately Run,9185458, $0.05 
India - Mobile - Privately Run,9188299, $0.05 
India - Mobile - Privately Run,919102, $0.05 
India - Mobile - Privately Run,9172029, $0.05 
India - Mobile - Privately Run,9176859, $0.05 
India - Mobile - Privately Run,9178518, $0.05 
India - Mobile - Privately Run,9183509, $0.05 
India - Mobile - Privately Run,9185459, $0.05 
India - Mobile - Privately Run,9188520, $0.05 
India - Mobile - Privately Run,919109, $0.05 
India - Mobile - Privately Run,9172030, $0.05 
India - Mobile - Privately Run,9176860, $0.05 
India - Mobile - Privately Run,9178519, $0.05 
India - Mobile - Privately Run,9183510, $0.05 
India - Mobile - Privately Run,9185460, $0.05 
India - Mobile - Privately Run,9188528, $0.05 
India - Mobile - Privately Run,919110, $0.05 
India - Mobile - Privately Run,9172038, $0.05 
India - Mobile - Privately Run,9176868, $0.05 
India - Mobile - Privately Run,9178520, $0.05 
India - Mobile - Privately Run,9183518, $0.05 
India - Mobile - Privately Run,9185468, $0.05 
India - Mobile - Privately Run,9188529, $0.05 
India - Mobile - Privately Run,919111, $0.05 
India - Mobile - Privately Run,9172039, $0.05 
India - Mobile - Privately Run,9176869, $0.05 
India - Mobile - Privately Run,9178528, $0.05 
India - Mobile - Privately Run,9183519, $0.05 
India - Mobile - Privately Run,9185469, $0.05 
India - Mobile - Privately Run,9188540, $0.05 
India - Mobile - Privately Run,919112, $0.05 
India - Mobile - Privately Run,917204, $0.05 
India - Mobile - Privately Run,9176870, $0.05 
India - Mobile - Privately Run,9178529, $0.05 
India - Mobile - Privately Run,9183520, $0.05 
India - Mobile - Privately Run,9185480, $0.05 
India - Mobile - Privately Run,9188548, $0.05 
India - Mobile - Privately Run,919114, $0.05 
India - Mobile - Privately Run,917205, $0.05 
India - Mobile - Privately Run,9176878, $0.05 
India - Mobile - Privately Run,9178530, $0.05 
India - Mobile - Privately Run,9183528, $0.05 
India - Mobile - Privately Run,9185488, $0.05 
India - Mobile - Privately Run,9188549, $0.05 
India - Mobile - Privately Run,919117, $0.05 
India - Mobile - Privately Run,917206, $0.05 
India - Mobile - Privately Run,9176879, $0.05 
India - Mobile - Privately Run,9178538, $0.05 
India - Mobile - Privately Run,9183529, $0.05 
India - Mobile - Privately Run,9185489, $0.05 
India - Mobile - Privately Run,9188550, $0.05 
India - Mobile - Privately Run,919122, $0.05 
India - Mobile - Privately Run,917207, $0.05 
India - Mobile - Privately Run,9176880, $0.05 
India - Mobile - Privately Run,9178539, $0.05 
India - Mobile - Privately Run,9183530, $0.05 
India - Mobile - Privately Run,9185490, $0.05 
India - Mobile - Privately Run,9188558, $0.05 
India - Mobile - Privately Run,919124, $0.05 
India - Mobile - Privately Run,917208, $0.05 
India - Mobile - Privately Run,9176888, $0.05 
India - Mobile - Privately Run,9178540, $0.05 
India - Mobile - Privately Run,9183538, $0.05 
India - Mobile - Privately Run,9185498, $0.05 
India - Mobile - Privately Run,9188559, $0.05 
India - Mobile - Privately Run,919125, $0.05 
India - Mobile - Privately Run,917209, $0.05 
India - Mobile - Privately Run,9176889, $0.05 
India - Mobile - Privately Run,9178548, $0.05 
India - Mobile - Privately Run,9183539, $0.05 
India - Mobile - Privately Run,9185499, $0.05 
India - Mobile - Privately Run,9188560, $0.05 
India - Mobile - Privately Run,919126, $0.05 
India - Mobile - Privately Run,917210, $0.05 
India - Mobile - Privately Run,9176890, $0.05 
India - Mobile - Privately Run,9178549, $0.05 
India - Mobile - Privately Run,9183540, $0.05 
India - Mobile - Privately Run,9185500, $0.05 
India - Mobile - Privately Run,9188568, $0.05 
India - Mobile - Privately Run,919127, $0.05 
India - Mobile - Privately Run,917211, $0.05 
India - Mobile - Privately Run,9176898, $0.05 
India - Mobile - Privately Run,9178550, $0.05 
India - Mobile - Privately Run,9183548, $0.05 
India - Mobile - Privately Run,9185508, $0.05 
India - Mobile - Privately Run,9188569, $0.05 
India - Mobile - Privately Run,919128, $0.05 
India - Mobile - Privately Run,917217, $0.05 
India - Mobile - Privately Run,9176899, $0.05 
India - Mobile - Privately Run,9178558, $0.05 
India - Mobile - Privately Run,9183549, $0.05 
India - Mobile - Privately Run,9185598, $0.05 
India - Mobile - Privately Run,9188570, $0.05 
India - Mobile - Privately Run,919129, $0.05 
India - Mobile - Privately Run,917218, $0.05 
India - Mobile - Privately Run,9176900, $0.05 
India - Mobile - Privately Run,9178559, $0.05 
India - Mobile - Privately Run,9183550, $0.05 
India - Mobile - Privately Run,9185599, $0.05 
India - Mobile - Privately Run,9188578, $0.05 
India - Mobile - Privately Run,919131, $0.05 
India - Mobile - Privately Run,9172199, $0.05 
India - Mobile - Privately Run,9176908, $0.05 
India - Mobile - Privately Run,9178560, $0.05 
India - Mobile - Privately Run,9183780, $0.05 
India - Mobile - Privately Run,9185600, $0.05 
India - Mobile - Privately Run,9188579, $0.05 
India - Mobile - Privately Run,919132, $0.05 
India - Mobile - Privately Run,9172200, $0.05 
India - Mobile - Privately Run,9176909, $0.05 
India - Mobile - Privately Run,9178568, $0.05 
India - Mobile - Privately Run,9183788, $0.05 
India - Mobile - Privately Run,9185608, $0.05 
India - Mobile - Privately Run,9188620, $0.05 
India - Mobile - Privately Run,919133, $0.05 
India - Mobile - Privately Run,9172208, $0.05 
India - Mobile - Privately Run,9176910, $0.05 
India - Mobile - Privately Run,9178569, $0.05 
India - Mobile - Privately Run,9183789, $0.05 
India - Mobile - Privately Run,9185609, $0.05 
India - Mobile - Privately Run,9188628, $0.05 
India - Mobile - Privately Run,919135, $0.05 
India - Mobile - Privately Run,9172209, $0.05 
India - Mobile - Privately Run,9176918, $0.05 
India - Mobile - Privately Run,9178570, $0.05 
India - Mobile - Privately Run,9183790, $0.05 
India - Mobile - Privately Run,9185610, $0.05 
India - Mobile - Privately Run,9188629, $0.05 
India - Mobile - Privately Run,919136, $0.05 
India - Mobile - Privately Run,9172210, $0.05 
India - Mobile - Privately Run,9176919, $0.05 
India - Mobile - Privately Run,9178578, $0.05 
India - Mobile - Privately Run,9183798, $0.05 
India - Mobile - Privately Run,9185618, $0.05 
India - Mobile - Privately Run,9188630, $0.05 
India - Mobile - Privately Run,919137, $0.05 
India - Mobile - Privately Run,9172218, $0.05 
India - Mobile - Privately Run,9176920, $0.05 
India - Mobile - Privately Run,9178579, $0.05 
India - Mobile - Privately Run,9183799, $0.05 
India - Mobile - Privately Run,9185619, $0.05 
India - Mobile - Privately Run,9188638, $0.05 
India - Mobile - Privately Run,919138, $0.05 
India - Mobile - Privately Run,9172219, $0.05 
India - Mobile - Privately Run,9176928, $0.05 
India - Mobile - Privately Run,9178580, $0.05 
India - Mobile - Privately Run,9183800, $0.05 
India - Mobile - Privately Run,9185620, $0.05 
India - Mobile - Privately Run,9188639, $0.05 
India - Mobile - Privately Run,919141, $0.05 
India - Mobile - Privately Run,9172220, $0.05 
India - Mobile - Privately Run,9176929, $0.05 
India - Mobile - Privately Run,9178588, $0.05 
India - Mobile - Privately Run,9183808, $0.05 
India - Mobile - Privately Run,9185628, $0.05 
India - Mobile - Privately Run,9188640, $0.05 
India - Mobile - Privately Run,919142, $0.05 
India - Mobile - Privately Run,9172228, $0.05 
India - Mobile - Privately Run,9176930, $0.05 
India - Mobile - Privately Run,9178589, $0.05 
India - Mobile - Privately Run,9183809, $0.05 
India - Mobile - Privately Run,9185629, $0.05 
India - Mobile - Privately Run,9188648, $0.05 
India - Mobile - Privately Run,919143, $0.05 
India - Mobile - Privately Run,9172360, $0.05 
India - Mobile - Privately Run,9176938, $0.05 
India - Mobile - Privately Run,9178590, $0.05 
India - Mobile - Privately Run,9183810, $0.05 
India - Mobile - Privately Run,9185630, $0.05 
India - Mobile - Privately Run,9188649, $0.05 
India - Mobile - Privately Run,919144, $0.05 
India - Mobile - Privately Run,9172368, $0.05 
India - Mobile - Privately Run,9176939, $0.05 
India - Mobile - Privately Run,9178598, $0.05 
India - Mobile - Privately Run,9183818, $0.05 
India - Mobile - Privately Run,9185638, $0.05 
India - Mobile - Privately Run,9188650, $0.05 
India - Mobile - Privately Run,919145, $0.05 
India - Mobile - Privately Run,9172369, $0.05 
India - Mobile - Privately Run,9176940, $0.05 
India - Mobile - Privately Run,9178599, $0.05 
India - Mobile - Privately Run,9183819, $0.05 
India - Mobile - Privately Run,9185639, $0.05 
India - Mobile - Privately Run,9188658, $0.05 
India - Mobile - Privately Run,919146, $0.05 
India - Mobile - Privately Run,9172370, $0.05 
India - Mobile - Privately Run,9176948, $0.05 
India - Mobile - Privately Run,917860, $0.05 
India - Mobile - Privately Run,9183820, $0.05 
India - Mobile - Privately Run,9185640, $0.05 
India - Mobile - Privately Run,9188659, $0.05 
India - Mobile - Privately Run,919148, $0.05 
India - Mobile - Privately Run,9172378, $0.05 
India - Mobile - Privately Run,9176949, $0.05 
India - Mobile - Privately Run,9178610, $0.05 
India - Mobile - Privately Run,9183828, $0.05 
India - Mobile - Privately Run,9185648, $0.05 
India - Mobile - Privately Run,9188680, $0.05 
India - Mobile - Privately Run,919149, $0.05 
India - Mobile - Privately Run,9172379, $0.05 
India - Mobile - Privately Run,9176950, $0.05 
India - Mobile - Privately Run,9178618, $0.05 
India - Mobile - Privately Run,9183829, $0.05 
India - Mobile - Privately Run,9185649, $0.05 
India - Mobile - Privately Run,9188688, $0.05 
India - Mobile - Privately Run,919150, $0.05 
India - Mobile - Privately Run,9172380, $0.05 
India - Mobile - Privately Run,9176958, $0.05 
India - Mobile - Privately Run,9178619, $0.05 
India - Mobile - Privately Run,9183849, $0.05 
India - Mobile - Privately Run,9185650, $0.05 
India - Mobile - Privately Run,9188689, $0.05 
India - Mobile - Privately Run,919153, $0.05 
India - Mobile - Privately Run,9172388, $0.05 
India - Mobile - Privately Run,9176959, $0.05 
India - Mobile - Privately Run,9178620, $0.05 
India - Mobile - Privately Run,9183850, $0.05 
India - Mobile - Privately Run,9185658, $0.05 
India - Mobile - Privately Run,9188690, $0.05 
India - Mobile - Privately Run,919164, $0.05 
India - Mobile - Privately Run,9172389, $0.05 
India - Mobile - Privately Run,9177000, $0.05 
India - Mobile - Privately Run,9178628, $0.05 
India - Mobile - Privately Run,9183858, $0.05 
India - Mobile - Privately Run,9185659, $0.05 
India - Mobile - Privately Run,9188698, $0.05 
India - Mobile - Privately Run,919165, $0.05 
India - Mobile - Privately Run,9172390, $0.05 
India - Mobile - Privately Run,9177009, $0.05 
India - Mobile - Privately Run,9178629, $0.05 
India - Mobile - Privately Run,9183859, $0.05 
India - Mobile - Privately Run,9185660, $0.05 
India - Mobile - Privately Run,9188699, $0.05 
India - Mobile - Privately Run,9172398, $0.05 
India - Mobile - Privately Run,9177010, $0.05 
India - Mobile - Privately Run,9178630, $0.05 
India - Mobile - Privately Run,9183860, $0.05 
India - Mobile - Privately Run,9185668, $0.05 
India - Mobile - Privately Run,9189220, $0.05 
India - Mobile - Privately Run,9172399, $0.05 
India - Mobile - Privately Run,917719, $0.05 
India - Mobile - Privately Run,9178638, $0.05 
India - Mobile - Privately Run,9183868, $0.05 
India - Mobile - Privately Run,9185669, $0.05 
India - Mobile - Privately Run,9189228, $0.05 
India - Mobile - Privately Run,919173, $0.05 
India - Mobile - Privately Run,917240, $0.05 
India - Mobile - Privately Run,9177200, $0.05 
India - Mobile - Privately Run,9178639, $0.05 
India - Mobile - Privately Run,9183869, $0.05 
India - Mobile - Privately Run,9185670, $0.05 
India - Mobile - Privately Run,9189229, $0.05 
India - Mobile - Privately Run,919174, $0.05 
India - Mobile - Privately Run,917241, $0.05 
India - Mobile - Privately Run,9177208, $0.05 
India - Mobile - Privately Run,9178640, $0.05 
India - Mobile - Privately Run,9183870, $0.05 
India - Mobile - Privately Run,9185678, $0.05 
India - Mobile - Privately Run,9189240, $0.05 
India - Mobile - Privately Run,919175, $0.05 
India - Mobile - Privately Run,917247, $0.05 
India - Mobile - Privately Run,9177209, $0.05 
India - Mobile - Privately Run,9178648, $0.05 
India - Mobile - Privately Run,9183878, $0.05 
India - Mobile - Privately Run,9185679, $0.05 
India - Mobile - Privately Run,9189248, $0.05 
India - Mobile - Privately Run,917248, $0.05 
India - Mobile - Privately Run,9177210, $0.05 
India - Mobile - Privately Run,9178649, $0.05 
India - Mobile - Privately Run,9183879, $0.05 
India - Mobile - Privately Run,9185680, $0.05 
India - Mobile - Privately Run,9189249, $0.05 
India - Mobile - Privately Run,917249, $0.05 
India - Mobile - Privately Run,9177218, $0.05 
India - Mobile - Privately Run,9178650, $0.05 
India - Mobile - Privately Run,9183880, $0.05 
India - Mobile - Privately Run,9185688, $0.05 
India - Mobile - Privately Run,9189310, $0.05 
India - Mobile - Privately Run,9172540, $0.05 
India - Mobile - Privately Run,9177219, $0.05 
India - Mobile - Privately Run,9178658, $0.05 
India - Mobile - Privately Run,9183888, $0.05 
India - Mobile - Privately Run,9185689, $0.05 
India - Mobile - Privately Run,9189318, $0.05 
India - Mobile - Privately Run,9192, $0.05 
India - Mobile - Privately Run,9172548, $0.05 
India - Mobile - Privately Run,9177220, $0.05 
India - Mobile - Privately Run,9178659, $0.05 
India - Mobile - Privately Run,9183889, $0.05 
India - Mobile - Privately Run,9185690, $0.05 
India - Mobile - Privately Run,9189319, $0.05 
India - Mobile - Privately Run,9193, $0.05 
India - Mobile - Privately Run,9172549, $0.05 
India - Mobile - Privately Run,9177228, $0.05 
India - Mobile - Privately Run,9178660, $0.05 
India - Mobile - Privately Run,9183890, $0.05 
India - Mobile - Privately Run,9185729, $0.05 
India - Mobile - Privately Run,9189320, $0.05 
India - Mobile - Privately Run,9197, $0.05 
India - Mobile - Privately Run,9172550, $0.05 
India - Mobile - Privately Run,9177229, $0.05 
India - Mobile - Privately Run,9178668, $0.05 
India - Mobile - Privately Run,9183898, $0.05 
India - Mobile - Privately Run,9185730, $0.05 
India - Mobile - Privately Run,9189328, $0.05 
India - Mobile - Privately Run,9172558, $0.05 
India - Mobile - Privately Run,9177230, $0.05 
India - Mobile - Privately Run,9178669, $0.05 
India - Mobile - Privately Run,9183899, $0.05 
India - Mobile - Privately Run,9185738, $0.05 
India - Mobile - Privately Run,9189329, $0.05 
India - Mobile - Privately Run,9172559, $0.05 
India - Mobile - Privately Run,9177238, $0.05 
India - Mobile - Privately Run,917870, $0.05 
India - Mobile - Privately Run,9183910, $0.05 
India - Mobile - Privately Run,9185739, $0.05 
India - Mobile - Privately Run,9189330, $0.05 
India - Mobile - Privately Run,9172560, $0.05 
India - Mobile - Privately Run,9177239, $0.05 
India - Mobile - Privately Run,917871, $0.05 
India - Mobile - Privately Run,9183918, $0.05 
India - Mobile - Privately Run,9185760, $0.05 
India - Mobile - Privately Run,9189338, $0.05 
India - Mobile - Privately Run,9172568, $0.05 
India - Mobile - Privately Run,9177240, $0.05 
India - Mobile - Privately Run,917876, $0.05 
India - Mobile - Privately Run,9183919, $0.05 
India - Mobile - Privately Run,9185768, $0.05 
India - Mobile - Privately Run,9189339, $0.05 
India - Mobile - Privately Run,9172569, $0.05 
India - Mobile - Privately Run,9177248, $0.05 
India - Mobile - Privately Run,917877, $0.05 
India - Mobile - Privately Run,9183920, $0.05 
India - Mobile - Privately Run,9185769, $0.05 
India - Mobile - Privately Run,9189340, $0.05 
India - Mobile - Privately Run,9172570, $0.05 
India - Mobile - Privately Run,9177249, $0.05 
India - Mobile - Privately Run,917878, $0.05 
India - Mobile - Privately Run,9184168, $0.05 
India - Mobile - Privately Run,9185770, $0.05 
India - Mobile - Privately Run,9189348, $0.05 
India - Mobile - Privately Run,9172660, $0.05 
India - Mobile - Privately Run,9177250, $0.05 
India - Mobile - Privately Run,917879, $0.05 
India - Mobile - Privately Run,9184169, $0.05 
India - Mobile - Privately Run,9185778, $0.05 
India - Mobile - Privately Run,9189349, $0.05 
India - Mobile - Privately Run,9172668, $0.05 
India - Mobile - Privately Run,9177258, $0.05 
India - Mobile - Privately Run,9178800, $0.05 
India - Mobile - Privately Run,9184170, $0.05 
India - Mobile - Privately Run,9185779, $0.05 
India - Mobile - Privately Run,9189350, $0.05 
India - Mobile - Privately Run,9172669, $0.05 
India - Mobile - Privately Run,9177290, $0.05 
India - Mobile - Privately Run,9178801, $0.05 
India - Mobile - Privately Run,9184178, $0.05 
India - Mobile - Privately Run,9185780, $0.05 
India - Mobile - Privately Run,9189358, $0.05 
India - Mobile - Privately Run,9172670, $0.05 
India - Mobile - Privately Run,9177298, $0.05 
India - Mobile - Privately Run,9178802, $0.05 
India - Mobile - Privately Run,9184179, $0.05 
India - Mobile - Privately Run,9185788, $0.05 
India - Mobile - Privately Run,9189359, $0.05 
India - Mobile - Privately Run,9172678, $0.05 
India - Mobile - Privately Run,9177299, $0.05 
India - Mobile - Privately Run,9178873, $0.05 
India - Mobile - Privately Run,9184180, $0.05 
India - Mobile - Privately Run,9185789, $0.05 
India - Mobile - Privately Run,9189360, $0.05 
India - Mobile - Privately Run,9172679, $0.05 
India - Mobile - Privately Run,9177300, $0.05 
India - Mobile - Privately Run,9178874, $0.05 
India - Mobile - Privately Run,9184188, $0.05 
India - Mobile - Privately Run,9185790, $0.05 
India - Mobile - Privately Run,9189368, $0.05 
India - Mobile - Privately Run,9172680, $0.05 
India - Mobile - Privately Run,9177308, $0.05 
India - Mobile - Privately Run,9178875, $0.05 
India - Mobile - Privately Run,9184189, $0.05 
India - Mobile - Privately Run,9185798, $0.05 
India - Mobile - Privately Run,9189369, $0.05 
India - Mobile - Privately Run,9172688, $0.05 
India - Mobile - Privately Run,9177309, $0.05 
India - Mobile - Privately Run,9178876, $0.05 
India - Mobile - Privately Run,9184190, $0.05 
India - Mobile - Privately Run,9185799, $0.05 
India - Mobile - Privately Run,9189370, $0.05 
India - Mobile - Privately Run,9172689, $0.05 
India - Mobile - Privately Run,9177310, $0.05 
India - Mobile - Privately Run,9178877, $0.05 
India - Mobile - Privately Run,9184198, $0.05 
India - Mobile - Privately Run,9185810, $0.05 
India - Mobile - Privately Run,9189378, $0.05 
India - Mobile - Privately Run,9172690, $0.05 
India - Mobile - Privately Run,9177318, $0.05 
India - Mobile - Privately Run,9178878, $0.05 
India - Mobile - Privately Run,9184199, $0.05 
India - Mobile - Privately Run,9185818, $0.05 
India - Mobile - Privately Run,9189379, $0.05 
India - Mobile - Privately Run,9172698, $0.05 
India - Mobile - Privately Run,9177319, $0.05 
India - Mobile - Privately Run,9178879, $0.05 
India - Mobile - Privately Run,9184220, $0.05 
India - Mobile - Privately Run,9185819, $0.05 
India - Mobile - Privately Run,9189380, $0.05 
India - Mobile - Privately Run,9172699, $0.05 
India - Mobile - Privately Run,9177320, $0.05 
India - Mobile - Privately Run,917888, $0.05 
India - Mobile - Privately Run,9184228, $0.05 
India - Mobile - Privately Run,9185820, $0.05 
India - Mobile - Privately Run,9189388, $0.05 
India - Mobile - Privately Run,9172700, $0.05 
India - Mobile - Privately Run,9177328, $0.05 
India - Mobile - Privately Run,917890, $0.05 
India - Mobile - Privately Run,9184229, $0.05 
India - Mobile - Privately Run,9185999, $0.05 
India - Mobile - Privately Run,9189389, $0.05 
India - Mobile - Privately Run,9172708, $0.05 
India - Mobile - Privately Run,9177329, $0.05 
India - Mobile - Privately Run,917891, $0.05 
India - Mobile - Privately Run,9184240, $0.05 
India - Mobile - Privately Run,9186200, $0.05 
India - Mobile - Privately Run,9189410, $0.05 
India - Mobile - Privately Run,9172709, $0.05 
India - Mobile - Privately Run,9177330, $0.05 
India - Mobile - Privately Run,91790, $0.05 
India - Mobile - Privately Run,9184248, $0.05 
India - Mobile - Privately Run,9186208, $0.05 
India - Mobile - Privately Run,9189418, $0.05 
India - Mobile - Privately Run,9172710, $0.05 
India - Mobile - Privately Run,9177338, $0.05 
India - Mobile - Privately Run,9181118, $0.05 
India - Mobile - Privately Run,9184249, $0.05 
India - Mobile - Privately Run,9186209, $0.05 
India - Mobile - Privately Run,9189419, $0.05 
India - Mobile - Privately Run,9172718, $0.05 
India - Mobile - Privately Run,9177339, $0.05 
India - Mobile - Privately Run,9181119, $0.05 
India - Mobile - Privately Run,9184250, $0.05 
India - Mobile - Privately Run,9186210, $0.05 
India - Mobile - Privately Run,9189468, $0.05 
India - Mobile - Privately Run,9172719, $0.05 
India - Mobile - Privately Run,9177340, $0.05 
India - Mobile - Privately Run,9181130, $0.05 
India - Mobile - Privately Run,9184258, $0.05 
India - Mobile - Privately Run,9186218, $0.05 
India - Mobile - Privately Run,9189469, $0.05 
India - Mobile - Privately Run,9172720, $0.05 
India - Mobile - Privately Run,9177348, $0.05 
India - Mobile - Privately Run,9181138, $0.05 
India - Mobile - Privately Run,9184259, $0.05 
India - Mobile - Privately Run,9186219, $0.05 
India - Mobile - Privately Run,9189470, $0.05 
India - Mobile - Privately Run,9172728, $0.05 
India - Mobile - Privately Run,9177349, $0.05 
India - Mobile - Privately Run,9181139, $0.05 
India - Mobile - Privately Run,9184260, $0.05 
India - Mobile - Privately Run,9186220, $0.05 
India - Mobile - Privately Run,9189478, $0.05 
India - Mobile - Privately Run,9172729, $0.05 
India - Mobile - Privately Run,917735, $0.05 
India - Mobile - Privately Run,9181399, $0.05 
India - Mobile - Privately Run,9184268, $0.05 
India - Mobile - Privately Run,9186228, $0.05 
India - Mobile - Privately Run,9189479, $0.05 
India - Mobile - Privately Run,9172730, $0.05 
India - Mobile - Privately Run,917736, $0.05 
India - Mobile - Privately Run,9181500, $0.05 
India - Mobile - Privately Run,9184269, $0.05 
India - Mobile - Privately Run,9186229, $0.05 
India - Mobile - Privately Run,9189630, $0.05 
India - Mobile - Privately Run,9172738, $0.05 
India - Mobile - Privately Run,917737, $0.05 
India - Mobile - Privately Run,9181508, $0.05 
India - Mobile - Privately Run,9184400, $0.05 
India - Mobile - Privately Run,9186230, $0.05 
India - Mobile - Privately Run,9189638, $0.05 
India - Mobile - Privately Run,9172739, $0.05 
India - Mobile - Privately Run,9177408, $0.05 
India - Mobile - Privately Run,9181509, $0.05 
India - Mobile - Privately Run,9184408, $0.05 
India - Mobile - Privately Run,9186238, $0.05 
India - Mobile - Privately Run,9189639, $0.05 
India - Mobile - Privately Run,9172740, $0.05 
India - Mobile - Privately Run,9177409, $0.05 
India - Mobile - Privately Run,9181510, $0.05 
India - Mobile - Privately Run,9184409, $0.05 
India - Mobile - Privately Run,9186239, $0.05 
India - Mobile - Privately Run,9189640, $0.05 
India - Mobile - Privately Run,9172748, $0.05 
India - Mobile - Privately Run,9177410, $0.05 
India - Mobile - Privately Run,9181518, $0.05 
India - Mobile - Privately Run,9184410, $0.05 
India - Mobile - Privately Run,9186240, $0.05 
India - Mobile - Privately Run,9189648, $0.05 
India - Mobile - Privately Run,9172749, $0.05 
India - Mobile - Privately Run,9177418, $0.05 
India - Mobile - Privately Run,9181519, $0.05 
India - Mobile - Privately Run,9184418, $0.05 
India - Mobile - Privately Run,9186248, $0.05 
India - Mobile - Privately Run,9189649, $0.05 
India - Mobile - Privately Run,9172790, $0.05 
India - Mobile - Privately Run,9177419, $0.05 
India - Mobile - Privately Run,9181520, $0.05 
India - Mobile - Privately Run,9184419, $0.05 
India - Mobile - Privately Run,9186249, $0.05 
India - Mobile - Privately Run,9189650, $0.05 
India - Mobile - Privately Run,9172798, $0.05 
India - Mobile - Privately Run,9177438, $0.05 
